ああ brush
あい drink
あう lottery
あえ prison
あお swing
あか trust
あき face
あく rotate
あけ man
あこ diamond
あさ burden
あし remember
あす entry
あせ cement
あそ guess
あた wait
あち learn
あつ castle
あて rate
あと egg
あな clarify
あに final
あぬ rose
あね tell
あの auction
あは brisk
あひ letter
あふ correct
あへ bench
あほ tornado
あま trigger
あみ squirrel
あむ noise
あめ confirm
あも urge
あや bundle
あゆ health
あよ song
あら soccer
あり nature
ある curtain
あれ become
あろ genre
あわ usual
あを solution
あん school
あが tool
あぎ guitar
あぐ liberty
あげ city
あご toy
あざ suffer
あじ talk
あず organ
あぜ reform
あぞ act
あだ curve
あで claw
あど drama
あば task
あび surround
あぶ kid
あべ protect
あぼ exist
あぱ reform
あぴ either
あぷ skin
あぺ law
あぽ age
いあ urban
いい toilet
いう limit
いえ budget
いお antique
いか bar
いき table
いく dutch
いけ crumble
いこ decade
いさ stuff
いし celery
いす cram
いせ bridge
いそ truly
いた unhappy
いち settle
いつ upset
いて repair
いと cake
いな glance
いに marriage
いぬ salon
いね renew
いの joy
いは clever
いひ today
いふ vessel
いへ east
いほ capital
いま regular
いみ cigar
いむ laptop
いめ wood
いも until
いや zebra
いゆ entry
いよ nothing
いら knock
いり dice
いる salon
いれ fork
いろ nut
いわ stool
いを mandate
いん excess
いが enable
いぎ ketchup
いぐ hero
いげ maximum
いご shoe
いざ obvious
いじ okay
いず slab
いぜ height
いぞ believe
いだ unique
いで garlic
いど address
いば buddy
いび merge
いぶ toy
いべ either
いぼ leisure
いぱ mean
いぴ unit
いぷ steel
いぺ bridge
いぽ toast
うあ lecture
うい stadium
うう empty
うえ arrive
うお spider
うか loud
うき suit
うく flock
うけ where
うこ sniff
うさ token
うし duck
うす hello
うせ stereo
うそ cheap
うた bread
うち catalog
うつ subject
うて habit
うと awesome
うな castle
うに pole
うぬ major
うね anger
うの odor
うは sock
うひ enough
うふ demise
うへ own
うほ club
うま fiscal
うみ april
うむ sort
うめ ensure
うも champion
うや essay
うゆ bomb
うよ collect
うら staff
うり flag
うる dial
うれ jar
うろ two
うわ crisp
うを walnut
うん gym
うが uncover
うぎ flush
うぐ shrimp
うげ private
うご gesture
うざ velvet
うじ enemy
うず include
うぜ task
うぞ attend
うだ arch
うで chest
うど turkey
うば notable
うび cake
うぶ sea
うべ isolate
うぼ notice
うぱ pioneer
うぴ find
うぷ misery
うぺ depth
うぽ snap
えあ warfare
えい service
えう eye
ええ royal
えお chicken
えか pond
えき brown
えく warfare
えけ ability
えこ hip
えさ annual
えし escape
えす wasp
えせ draft
えそ animal
えた hawk
えち sheriff
えつ fog
えて useful
えと chair
えな giraffe
えに snow
えぬ state
えね since
えの never
えは surge
えひ inch
えふ oppose
えへ figure
えほ common
えま deliver
えみ exile
えむ human
えめ reform
えも series
えや replace
えゆ polar
えよ draft
えら culture
えり similar
える near
えれ village
えろ globe
えわ talk
えを kingdom
えん damp
えが rug
えぎ logic
えぐ click
えげ chief
えご soft
えざ renew
えじ eye
えず pact
えぜ intact
えぞ shy
えだ cradle
えで sea
えど profit
えば pluck
えび join
えぶ dance
えべ best
えぼ innocent
えぱ toast
えぴ track
えぷ thought
えぺ prison
えぽ goddess
おあ increase
おい fruit
おう deny
おえ same
おお laundry
おか crash
おき trim
おく ride
おけ insect
おこ festival
おさ flame
おし cool
おす silent
おせ level
おそ venture
おた tourist
おち boat
おつ bring
おて point
おと noodle
おな certain
おに manual
おぬ infant
おね reward
おの federal
おは clay
おひ remind
おふ bulk
おへ shove
おほ syrup
おま guard
おみ corn
おむ volcano
おめ answer
おも twice
おや toddler
おゆ lake
およ tenant
おら quit
おり must
おる gold
おれ axis
おろ awesome
おわ exist
おを beef
おん report
おが spring
おぎ curve
おぐ monkey
おげ jungle
おご baby
おざ card
おじ company
おず typical
おぜ unlock
おぞ price
おだ affair
おで lazy
おど clump
おば input
おび dinner
おぶ unveil
おべ process
おぼ disagree
おぱ already
おぴ follow
おぷ piano
おぺ poverty
おぽ monkey
かあ hunt
かい pottery
かう sword
かえ exist
かお example
かか play
かき save
かく defy
かけ spell
かこ vivid
かさ carry
かし moral
かす lecture
かせ engage
かそ remember
かた silk
かち possible
かつ noodle
かて main
かと rally
かな palm
かに cotton
かぬ myself
かね like
