ああ	abandon
あい	ability
あう	able
あえ	about
あお	above
あか	absent
あき	absorb
あく	abstract
あけ	absurd
あこ	abuse
あさ	access
あし	accident
あす	account
あせ	accuse
あそ	achieve
あた	acid
あち	acoustic
あつ	acquire
あて	across
あと	act
あな	action
あに	actor
あぬ	actress
あね	actual
あの	adapt
あは	add
あひ	addict
あふ	address
あへ	adjust
あほ	admit
あま	adult
あみ	advance
あむ	advice
あめ	aerobic
あも	affair
あや	afford
あゆ	afraid
あよ	again
あら	age
あり	agent
ある	agree
あれ	ahead
あろ	aim
あわ	air
あを	airport
あん	aisle
いあ	alarm
いい	album
いう	alcohol
いえ	alert
いお	alien
いか	all
いき	alley
いく	allow
いけ	almost
いこ	alone
いさ	alpha
いし	already
いす	also
いせ	alter
いそ	always
いた	amateur
いち	amazing
いつ	among
いて	amount
いと	amused
いな	analyst
いに	anchor
いぬ	ancient
いね	anger
いの	angle
いは	angry
いひ	animal
いふ	ankle
いへ	announce
いほ	annual
いま	another
いみ	answer
いむ	antenna
いめ	antique
いも	anxiety
いや	any
いゆ	apart
いよ	apology
いら	appear
いり	apple
いる	approve
いれ	april
いろ	arch
いわ	arctic
いを	area
いん	arena
うあ	argue
うい	arm
うう	armed
うえ	armor
うお	army
うか	around
うき	arrange
うく	arrest
うけ	arrive
うこ	arrow
うさ	art
うし	artefact
うす	artist
うせ	artwork
うそ	ask
うた	aspect
うち	assault
うつ	asset
うて	assist
うと	assume
うな	asthma
うに	athlete
うぬ	atom
うね	attack
うの	attend
うは	attitude
うひ	attract
うふ	auction
うへ	audit
うほ	august
うま	aunt
うみ	author
うむ	auto
うめ	autumn
うも	average
うや	avocado
うゆ	avoid
うよ	awake
うら	aware
うり	away
うる	awesome
うれ	awful
うろ	awkward
うわ	axis
うを	baby
うん	bachelor
えあ	bacon
えい	badge
えう	bag
ええ	balance
えお	balcony
えか	ball
えき	bamboo
えく	banana
えけ	banner
えこ	bar
えさ	barely
えし	bargain
えす	barrel
えせ	base
えそ	basic
えた	basket
えち	battle
えつ	beach
えて	bean
えと	beauty
えな	because
えに	become
えぬ	beef
えね	before
えの	begin
えは	behave
えひ	behind
えふ	believe
えへ	below
えほ	belt
えま	bench
えみ	benefit
えむ	best
えめ	betray
えも	better
えや	between
えゆ	beyond
えよ	bicycle
えら	bid
えり	bike
える	bind
えれ	biology
えろ	bird
えわ	birth
えを	bitter
えん	black
おあ	blade
おい	blame
おう	blanket
おえ	blast
おお	bleak
おか	bless
おき	blind
おく	blood
おけ	blossom
おこ	blouse
おさ	blue
おし	blur
おす	blush
おせ	board
おそ	boat
おた	body
おち	boil
おつ	bomb
おて	bone
おと	bonus
おな	book
おに	boost
おぬ	border
おね	boring
おの	borrow
おは	boss
おひ	bottom
おふ	bounce
おへ	box
おほ	boy
おま	bracket
おみ	brain
おむ	brand
おめ	brass
おも	brave
おや	bread
おゆ	breeze
およ	brick
おら	bridge
おり	brief
おる	bright
おれ	bring
おろ	brisk
おわ	broccoli
おを	broken
おん	bronze
かあ	broom
かい	brother
かう	brown
かえ	brush
かお	bubble
かか	buddy
かき	budget
かく	buffalo
かけ	build
かこ	bulb
かさ	bulk
かし	bullet
かす	bundle
かせ	bunker
かそ	burden
かた	burger
かち	burst
かつ	bus
かて	business
かと	busy
かな	butter
かに	buyer
かぬ	buzz
かね	cabbage
かの	cabin
かは	cable
かひ	cactus
かふ	cage
かへ	cake
かほ	call
かま	calm
かみ	camera
かむ	camp
かめ	can
かも	canal
かや	cancel
かゆ	candy
かよ	cannon
から	canoe
かり	canvas
かる	canyon
かれ	capable
かろ	capital
かわ	captain
かを	car
かん	carbon
きあ	card
きい	cargo
きう	carpet
きえ	carry
きお	cart
きか	case
きき	cash
きく	casino
きけ	castle
きこ	casual
きさ	cat
きし	catalog
きす	catch
きせ	category
きそ	cattle
きた	caught
きち	cause
きつ	caution
きて	cave
きと	ceiling
きな	celery
きに	cement
きぬ	census
きね	century
きの	cereal
きは	certain
きひ	chair
きふ	chalk
きへ	champion
きほ	change
きま	chaos
きみ	chapter
きむ	charge
きめ	chase
きも	chat
きや	cheap
きゆ	check
きよ	cheese
きら	chef
きり	cherry
きる	chest
きれ	chicken
きろ	chief
きわ	child
きを	chimney
きん	choice
くあ	choose
くい	chronic
くう	chuckle
くえ	chunk
くお	churn
くか	cigar
くき	cinnamon
くく	circle
くけ	citizen
くこ	city
くさ	civil
くし	claim
くす	clap
くせ	clarify
くそ	claw
くた	clay
くち	clean
くつ	clerk
くて	clever
くと	click
くな	client
くに	cliff
くぬ	climb
くね	clinic
くの	clip
くは	clock
くひ	clog
くふ	close
くへ	cloth
くほ	cloud
くま	clown
くみ	club
くむ	clump
くめ	cluster
くも	clutch
くや	coach
くゆ	coast
くよ	coconut
くら	code
くり	coffee
くる	coil
くれ	coin
くろ	collect
くわ	color
くを	column
くん	combine
けあ	come
けい	comfort
けう	comic
けえ	common
けお	company
けか	concert
