ああ abandon
あい ability
あう able
あえ about
あお above
あか absent
あき absorb
あく abstract
あけ absurd
あこ abuse
あさ access
あし accident
あす account
あせ accuse
あそ achieve
あた acid
あち acoustic
あつ acquire
あて across
あと act
あな action
あに actor
あぬ actress
あね actual
あの adapt
あは add
あひ addict
あふ address
あへ adjust
あほ admit
あま adult
あみ advance
あむ advice
あめ aerobic
あも affair
あや afford
あゆ afraid
あよ again
あら age
あり agent
ある agree
あれ ahead
あろ aim
あわ air
あを airport
あん aisle
あが alarm
あぎ album
あぐ alcohol
あげ alert
あご alien
あざ all
あじ alley
あず allow
あぜ almost
あぞ alone
あだ alpha
あで already
あど also
あば alter
あび always
あぶ amateur
あべ amazing
あぼ among
あぱ amount
あぴ amused
あぷ analyst
あぺ anchor
あぽ ancient
いあ anger
いい angle
いう angry
いえ animal
いお ankle
いか announce
いき annual
いく another
いけ answer
いこ antenna
いさ antique
いし anxiety
いす any
いせ apart
いそ apology
いた appear
いち apple
いつ approve
いて april
いと arch
いな arctic
いに area
いぬ arena
いね argue
いの arm
いは armed
いひ armor
いふ army
いへ around
いほ arrange
いま arrest
いみ arrive
いむ arrow
いめ art
いも artefact
いや artist
いゆ artwork
いよ ask
いら aspect
いり assault
いる asset
いれ assist
いろ assume
いわ asthma
いを athlete
いん atom
いが attack
いぎ attend
いぐ attitude
いげ attract
いご auction
いざ audit
いじ august
いず aunt
いぜ author
いぞ auto
いだ autumn
いで average
いど avocado
いば avoid
いび awake
いぶ aware
いべ away
いぼ awesome
いぱ awful
いぴ awkward
いぷ axis
いぺ baby
いぽ bachelor
うあ bacon
うい badge
うう bag
うえ balance
うお balcony
うか ball
うき bamboo
うく banana
うけ banner
うこ bar
うさ barely
うし bargain
うす barrel
うせ base
うそ basic
うた basket
うち battle
うつ beach
うて bean
うと beauty
うな because
うに become
うぬ beef
うね before
うの begin
うは behave
うひ behind
うふ believe
うへ below
うほ belt
うま bench
うみ benefit
うむ best
うめ betray
うも better
うや between
うゆ beyond
うよ bicycle
うら bid
うり bike
うる bind
うれ biology
うろ bird
うわ birth
うを bitter
うん black
うが blade
うぎ blame
うぐ blanket
うげ blast
うご bleak
うざ bless
うじ blind
うず blood
うぜ blossom
うぞ blouse
うだ blue
うで blur
うど blush
うば board
うび boat
うぶ body
うべ boil
うぼ bomb
うぱ bone
うぴ bonus
うぷ book
うぺ boost
うぽ border
えあ boring
えい borrow
えう boss
ええ bottom
えお bounce
えか box
えき boy
えく bracket
えけ brain
えこ brand
えさ brass
えし brave
えす bread
えせ breeze
えそ brick
えた bridge
えち brief
えつ bright
えて bring
えと brisk
えな broccoli
えに broken
えぬ bronze
えね broom
えの brother
えは brown
えひ brush
えふ bubble
えへ buddy
えほ budget
えま buffalo
えみ build
えむ bulb
えめ bulk
えも bullet
えや bundle
えゆ bunker
えよ burden
えら burger
えり burst
える bus
えれ business
えろ busy
えわ butter
えを buyer
えん buzz
えが cabbage
えぎ cabin
えぐ cable
えげ cactus
えご cage
えざ cake
えじ call
えず calm
えぜ camera
えぞ camp
えだ can
えで canal
えど cancel
えば candy
えび cannon
えぶ canoe
えべ canvas
えぼ canyon
えぱ capable
えぴ capital
えぷ captain
えぺ car
えぽ carbon
おあ card
おい cargo
おう carpet
おえ carry
おお cart
おか case
おき cash
おく casino
おけ castle
おこ casual
おさ cat
おし catalog
おす catch
おせ category
おそ cattle
おた caught
おち cause
おつ caution
おて cave
おと ceiling
おな celery
おに cement
おぬ census
おね century
おの cereal
おは certain
おひ chair
おふ chalk
おへ champion
おほ change
おま chaos
おみ chapter
おむ charge
おめ chase
おも chat
おや cheap
おゆ check
およ cheese
おら chef
おり cherry
おる chest
おれ chicken
おろ chief
おわ child
おを chimney
おん choice
おが choose
おぎ chronic
おぐ chuckle
おげ chunk
おご churn
おざ cigar
おじ cinnamon
おず circle
おぜ citizen
おぞ city
おだ civil
おで claim
おど clap
おば clarify
おび claw
おぶ clay
おべ clean
おぼ clerk
おぱ clever
おぴ click
おぷ client
おぺ cliff
おぽ climb
かあ clinic
かい clip
かう clock
かえ clog
かお close
かか cloth
かき cloud
かく clown
かけ club
かこ clump
かさ cluster
かし clutch
かす coach
かせ coast
かそ coconut
かた code
かち coffee
かつ coil
かて coin
かと collect
かな color
かに column
かぬ combine
かね come
かの comfort
かは comic
かひ common
かふ company
かへ concert
かほ conduct
かま confirm
かみ congress
かむ connect
かめ consider
かも control
かや convince
かゆ cook
かよ cool
から copper
かり copy
かる coral
かれ core
かろ corn
かわ correct
かを cost
かん cotton
かが couch
かぎ country
かぐ couple
かげ course
かご cousin
かざ cover
かじ coyote
かず crack
かぜ cradle
かぞ craft
かだ cram
かで crane
かど crash
かば crater
かび crawl
かぶ crazy
かべ cream
かぼ credit
かぱ creek
かぴ crew
かぷ cricket
かぺ crime
かぽ crisp
きあ critic
きい crop
きう cross
きえ crouch
きお crowd
きか crucial
きき cruel
きく cruise
きけ crumble
