ああ abandon
あい ability
あう able
あえ about
あお above
あか absent
あき absorb
あく abstract
あけ absurd
あこ abuse
あさ access
あし accident
あす account
あせ accuse
あそ achieve
あた acid
あち acoustic
あつ acquire
あて across
あと act
あな action
あに actor
あぬ actress
あね actual
あの adapt
あは add
あひ addict
あふ address
あへ adjust
あほ admit
あま adult
あみ advance
あむ advice
あめ aerobic
あも affair
あや afford
あゆ afraid
あよ again
あら age
あり agent
ある agree
あれ ahead
あろ aim
あわ air
あを airport
あん aisle
あが alarm
あぎ album
あぐ alcohol
あげ alert
あご alien
あざ all
あじ alley
あず allow
あぜ almost
あぞ alone
あだ alpha
あで already
あど also
あば alter
あび always
あぶ amateur
あべ amazing
あぼ among
あぱ amount
あぴ amused
あぷ analyst
あぺ anchor
あぽ ancient
あっ anger
あゃ angle
あゅ angry
あょ animal
いあ ankle
いい announce
いう annual
いえ another
いお answer
いか antenna
いき antique
いく anxiety
いけ any
いこ apart
いさ apology
いし appear
いす apple
いせ approve
いそ april
いた arch
いち arctic
いつ area
いて arena
いと argue
いな arm
いに armed
いぬ armor
いね army
いの around
いは arrange
いひ arrest
いふ arrive
いへ arrow
いほ art
いま artefact
いみ artist
いむ artwork
いめ ask
いも aspect
いや assault
いゆ asset
いよ assist
いら assume
いり asthma
いる athlete
いれ atom
いろ attack
いわ attend
いを attitude
いん attract
いが auction
いぎ audit
いぐ august
いげ aunt
いご author
いざ auto
いじ autumn
いず average
いぜ avocado
いぞ avoid
いだ awake
いで aware
いど away
いば awesome
いび awful
いぶ awkward
いべ axis
いぼ baby
いぱ bachelor
いぴ bacon
いぷ badge
いぺ bag
いぽ balance
いっ balcony
いゃ ball
いゅ bamboo
いょ banana
うあ banner
うい bar
うう barely
うえ bargain
うお barrel
うか base
うき basic
うく basket
うけ battle
うこ beach
うさ bean
うし beauty
うす because
うせ become
うそ beef
うた before
うち begin
うつ behave
うて behind
うと believe
うな below
うに belt
うぬ bench
うね benefit
うの best
うは betray
うひ better
うふ between
うへ beyond
うほ bicycle
うま bid
うみ bike
うむ bind
うめ biology
うも bird
うや birth
うゆ bitter
うよ black
うら blade
うり blame
うる blanket
うれ blast
うろ bleak
うわ bless
うを blind
うん blood
うが blossom
うぎ blouse
うぐ blue
うげ blur
うご blush
うざ board
うじ boat
うず body
うぜ boil
うぞ bomb
うだ bone
うで bonus
うど book
うば boost
うび border
うぶ boring
うべ borrow
うぼ boss
うぱ bottom
うぴ bounce
うぷ box
うぺ boy
うぽ bracket
うっ brain
うゃ brand
うゅ brass
うょ brave
えあ bread
えい breeze
えう brick
ええ bridge
えお brief
えか bright
えき bring
えく brisk
えけ broccoli
えこ broken
えさ bronze
えし broom
えす brother
えせ brown
えそ brush
えた bubble
えち buddy
えつ budget
えて buffalo
えと build
えな bulb
えに bulk
えぬ bullet
えね bundle
えの bunker
えは burden
えひ burger
えふ burst
えへ bus
えほ business
えま busy
えみ butter
えむ buyer
えめ buzz
えも cabbage
えや cabin
えゆ cable
えよ cactus
えら cage
えり cake
える call
えれ calm
えろ camera
えわ camp
えを can
えん canal
えが cancel
えぎ candy
えぐ cannon
えげ canoe
えご canvas
えざ canyon
えじ capable
えず capital
えぜ captain
えぞ car
えだ carbon
えで card
えど cargo
えば carpet
えび carry
えぶ cart
えべ case
えぼ cash
えぱ casino
えぴ castle
えぷ casual
えぺ cat
えぽ catalog
えっ catch
えゃ category
えゅ cattle
えょ caught
おあ cause
おい caution
おう cave
おえ ceiling
おお celery
おか cement
おき census
おく century
おけ cereal
おこ certain
おさ chair
おし chalk
おす champion
おせ change
おそ chaos
おた chapter
おち charge
おつ chase
おて chat
おと cheap
おな check
おに cheese
おぬ chef
おね cherry
おの chest
おは chicken
おひ chief
おふ child
おへ chimney
おほ choice
おま choose
おみ chronic
おむ chuckle
おめ chunk
おも churn
おや cigar
おゆ cinnamon
およ circle
おら citizen
おり city
おる civil
おれ claim
おろ clap
おわ clarify
おを claw
おん clay
おが clean
おぎ clerk
おぐ clever
おげ click
おご client
おざ cliff
おじ climb
おず clinic
おぜ clip
おぞ clock
おだ clog
おで close
おど cloth
おば cloud
おび clown
おぶ club
おべ clump
おぼ cluster
おぱ clutch
おぴ coach
おぷ coast
おぺ coconut
おぽ code
おっ coffee
おゃ coil
おゅ coin
おょ collect
かあ color
かい column
かう combine
かえ come
かお comfort
かか comic
かき common
かく company
かけ concert
かこ conduct
かさ confirm
かし congress
かす connect
かせ consider
かそ control
かた convince
かち cook
かつ cool
かて copper
かと copy
かな coral
かに core
かぬ corn
かね correct
かの cost
かは cotton
かひ couch
かふ country
かへ couple
かほ course
かま cousin
かみ cover
かむ coyote
かめ crack
かも cradle
かや craft
かゆ cram
かよ crane
から crash
かり crater
かる crawl
かれ crazy
かろ cream
かわ credit
かを creek
かん crew
かが cricket
かぎ crime
かぐ crisp
かげ critic
かご crop
かざ cross
かじ crouch
かず crowd
かぜ crucial
かぞ cruel
