アア	abandon
アイ	ability
アウ	able
アエ	about
アオ	above
アカ	absent
アキ	absorb
アク	abstract
アケ	absurd
アコ	abuse
アサ	access
アシ	accident
アス	account
アセ	accuse
アソ	achieve
アタ	acid
アチ	acoustic
アツ	acquire
アテ	across
アト	act
アナ	action
アニ	actor
アヌ	actress
アネ	actual
アノ	adapt
アハ	add
アヒ	addict
アフ	address
アヘ	adjust
アホ	admit
アマ	adult
アミ	advance
アム	advice
アメ	aerobic
アモ	affair
アヤ	afford
アユ	afraid
アヨ	again
アラ	age
アリ	agent
アル	agree
アレ	ahead
アロ	aim
アワ	air
アヲ	airport
アン	aisle
イア	alarm
イイ	album
イウ	alcohol
イエ	alert
イオ	alien
イカ	all
イキ	alley
イク	allow
イケ	almost
イコ	alone
イサ	alpha
イシ	already
イス	also
イセ	alter
イソ	always
イタ	amateur
イチ	amazing
イツ	among
イテ	amount
イト	amused
イナ	analyst
イニ	anchor
イヌ	ancient
イネ	anger
イノ	angle
イハ	angry
イヒ	animal
イフ	ankle
イヘ	announce
イホ	annual
イマ	another
イミ	answer
イム	antenna
イメ	antique
イモ	anxiety
イヤ	any
イユ	apart
イヨ	apology
イラ	appear
イリ	apple
イル	approve
イレ	april
イロ	arch
イワ	arctic
イヲ	area
イン	arena
ウア	argue
ウイ	arm
ウウ	armed
ウエ	armor
ウオ	army
ウカ	around
ウキ	arrange
ウク	arrest
ウケ	arrive
ウコ	arrow
ウサ	art
ウシ	artefact
ウス	artist
ウセ	artwork
ウソ	ask
ウタ	aspect
ウチ	assault
ウツ	asset
ウテ	assist
ウト	assume
ウナ	asthma
ウニ	athlete
ウヌ	atom
ウネ	attack
ウノ	attend
ウハ	attitude
ウヒ	attract
ウフ	auction
ウヘ	audit
ウホ	august
ウマ	aunt
ウミ	author
ウム	auto
ウメ	autumn
ウモ	average
ウヤ	avocado
ウユ	avoid
ウヨ	awake
ウラ	aware
ウリ	away
ウル	awesome
ウレ	awful
ウロ	awkward
ウワ	axis
ウヲ	baby
ウン	bachelor
エア	bacon
エイ	badge
エウ	bag
エエ	balance
エオ	balcony
エカ	ball
エキ	bamboo
エク	banana
エケ	banner
エコ	bar
エサ	barely
エシ	bargain
エス	barrel
エセ	base
エソ	basic
エタ	basket
エチ	battle
エツ	beach
エテ	bean
エト	beauty
エナ	because
エニ	become
エヌ	beef
エネ	before
エノ	begin
エハ	behave
エヒ	behind
エフ	believe
エヘ	below
エホ	belt
エマ	bench
エミ	benefit
エム	best
エメ	betray
エモ	better
エヤ	between
エユ	beyond
エヨ	bicycle
エラ	bid
エリ	bike
エル	bind
エレ	biology
エロ	bird
エワ	birth
エヲ	bitter
エン	black
オア	blade
オイ	blame
オウ	blanket
オエ	blast
オオ	bleak
オカ	bless
オキ	blind
オク	blood
オケ	blossom
オコ	blouse
オサ	blue
オシ	blur
オス	blush
オセ	board
オソ	boat
オタ	body
オチ	boil
オツ	bomb
オテ	bone
オト	bonus
オナ	book
オニ	boost
オヌ	border
オネ	boring
オノ	borrow
オハ	boss
オヒ	bottom
オフ	bounce
オヘ	box
オホ	boy
オマ	bracket
オミ	brain
オム	brand
オメ	brass
オモ	brave
オヤ	bread
オユ	breeze
オヨ	brick
オラ	bridge
オリ	brief
オル	bright
オレ	bring
オロ	brisk
オワ	broccoli
オヲ	broken
オン	bronze
カア	broom
カイ	brother
カウ	brown
カエ	brush
カオ	bubble
カカ	buddy
カキ	budget
カク	buffalo
カケ	build
カコ	bulb
カサ	bulk
カシ	bullet
カス	bundle
カセ	bunker
カソ	burden
カタ	burger
カチ	burst
カツ	bus
カテ	business
カト	busy
カナ	butter
カニ	buyer
カヌ	buzz
カネ	cabbage
カノ	cabin
カハ	cable
カヒ	cactus
カフ	cage
カヘ	cake
カホ	call
カマ	calm
カミ	camera
カム	camp
カメ	can
カモ	canal
カヤ	cancel
カユ	candy
カヨ	cannon
カラ	canoe
カリ	canvas
カル	canyon
カレ	capable
カロ	capital
カワ	captain
カヲ	car
カン	carbon
キア	card
キイ	cargo
キウ	carpet
キエ	carry
キオ	cart
キカ	case
キキ	cash
キク	casino
キケ	castle
キコ	casual
キサ	cat
キシ	catalog
キス	catch
キセ	category
キソ	cattle
キタ	caught
キチ	cause
キツ	caution
キテ	cave
キト	ceiling
キナ	celery
キニ	cement
キヌ	census
キネ	century
キノ	cereal
キハ	certain
キヒ	chair
キフ	chalk
キヘ	champion
キホ	change
キマ	chaos
キミ	chapter
キム	charge
キメ	chase
キモ	chat
キヤ	cheap
キユ	check
キヨ	cheese
キラ	chef
キリ	cherry
キル	chest
キレ	chicken
キロ	chief
キワ	child
キヲ	chimney
キン	choice
クア	choose
クイ	chronic
クウ	chuckle
クエ	chunk
クオ	churn
クカ	cigar
クキ	cinnamon
クク	circle
クケ	citizen
クコ	city
クサ	civil
クシ	claim
クス	clap
クセ	clarify
クソ	claw
クタ	clay
クチ	clean
クツ	clerk
クテ	clever
クト	click
クナ	client
クニ	cliff
クヌ	climb
クネ	clinic
クノ	clip
クハ	clock
クヒ	clog
クフ	close
クヘ	cloth
クホ	cloud
クマ	clown
クミ	club
クム	clump
クメ	cluster
クモ	clutch
クヤ	coach
クユ	coast
クヨ	coconut
クラ	code
クリ	coffee
クル	coil
クレ	coin
クロ	collect
クワ	color
クヲ	column
クン	combine
ケア	come
ケイ	comfort
ケウ	comic
ケエ	common
ケオ	company
ケカ	concert
ケキ	conduct
ケク	confirm
ケケ	congress
ケコ	connect
ケサ	consider
ケシ	control
ケス	convince
ケセ	cook
ケソ	cool
ケタ	copper
ケチ	copy
ケツ	coral
ケテ	core
ケト	corn
ケナ	correct
ケニ	cost
ケヌ	cotton
ケネ	couch
ケノ	country
ケハ	couple
ケヒ	course
ケフ	cousin
ケヘ	cover
ケホ	coyote
ケマ	crack
ケミ	cradle
ケム	craft
ケメ	cram
ケモ	crane
ケヤ	crash
ケユ	crater
ケヨ	crawl
ケラ	crazy
ケリ	cream
ケル	credit
ケレ	creek
ケロ	crew
ケワ	cricket
ケヲ	crime
ケン	crisp
コア	critic
コイ	crop
コウ	cross
コエ	crouch
コオ	crowd
コカ	crucial
コキ	cruel
コク	cruise
コケ	crumble
ココ	crunch
コサ	crush
コシ	cry
コス	crystal
コセ	cube
コソ	culture
コタ	cup
コチ	cupboard
コツ	curious
コテ	current
コト	curtain
コナ	curve
コニ	cushion
コヌ	custom
コネ	cute
コノ	cycle
コハ	dad
コヒ	damage
コフ	damp
コヘ	dance
コホ	danger
コマ	daring
コミ	dash
コム	daughter
コメ	dawn
コモ	day
コヤ	deal
コユ	debate
コヨ	debris
コラ	decade
コリ	december
コル	decide
コレ	decline
コロ	decorate
コワ	decrease
コヲ	deer
コン	defense
サア	define
サイ	defy
サウ	degree
サエ	delay
サオ	deliver
サカ	demand
サキ	demise
サク	denial
サケ	dentist
サコ	deny
ササ	depart
サシ	depend
サス	deposit
サセ	depth
サソ	deputy
サタ	derive
サチ	describe
サツ	desert
サテ	design
サト	desk
サナ	despair
サニ	destroy
サヌ	detail
サネ	detect
サノ	develop
サハ	device
サヒ	devote
サフ	diagram
サヘ	dial
サホ	diamond
サマ	diary
サミ	dice
サム	diesel
サメ	diet
サモ	differ
サヤ	digital
サユ	dignity
サヨ	dilemma
サラ	dinner
サリ	dinosaur
サル	direct
サレ	dirt
サロ	disagree
サワ	discover
サヲ	disease
サン	dish
シア	dismiss
シイ	disorder
シウ	display
シエ	distance
シオ	divert
シカ	divide
シキ	divorce
シク	dizzy
シケ	doctor
シコ	document
シサ	dog
シシ	doll
シス	dolphin
シセ	domain
シソ	donate
シタ	donkey
シチ	donor
シツ	door
シテ	dose
シト	double
シナ	dove
シニ	draft
シヌ	dragon
シネ	drama
シノ	drastic
シハ	draw
シヒ	dream
シフ	dress
シヘ	drift
シホ	drill
シマ	drink
シミ	drip
シム	drive
シメ	drop
シモ	drum
シヤ	dry
シユ	duck
シヨ	dumb
シラ	dune
シリ	during
シル	dust
シレ	dutch
シロ	duty
シワ	dwarf
シヲ	dynamic
シン	eager
スア	eagle
スイ	early
スウ	earn
スエ	earth
スオ	easily
